universityName,departmentName,ratioKo,ratioMath,ratioEn,ratioTg,cutoffPercentile70,recruitCount,competitionRate,additionalRank,koreanCut70,mathCut70,tamguCut70,region,admissionGroup,dataSource
강원대학교,미디어커뮤니케이션학과,0.3,0.25,0.2,0.25,81.0,5,6.80,2,80.0,50.0,97.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,배터리융합공학과,0.2,0.35,0.15,0.3,62.5,7,3.14,4,70.0,76.0,52.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,부동산학과,0.25,0.3,0.2,0.25,67.8,7,4.57,5,86.0,54.0,65.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,분자생명과학과,0.2,0.35,0.15,0.3,69.2,7,6.29,6,65.0,66.0,73.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,사회학과,0.3,0.25,0.2,0.25,69.8,7,9.14,4,70.0,70.0,69.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,생명건강공학과,0.2,0.35,0.15,0.3,68.0,5,5.40,1,67.0,68.0,68.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,생물의소재공학과,0.2,0.35,0.15,0.3,67.2,4,6.75,1,61.0,74.0,67.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,생물자원과학부,0.2,0.35,0.15,0.3,71.2,9,5.00,2,56.0,70.0,79.5,강원,,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,수의예과,0.2,0.35,0.15,0.3,95.8,10,10.40,10,93.0,98.0,96.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,스마트산업공학과,0.2,0.35,0.15,0.3,65.8,6,4.50,5,68.0,74.0,60.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,스마트팜융합바이오시스템공학과,0.2,0.35,0.15,0.3,67.8,5,5.80,4,47.0,74.0,75.0,강원,,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,스포츠과학과,0.2,0.35,0.15,0.3,65.0,11,6.36,2,60.0,,67.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
