region,universityName,admissionGroup,departmentName,recruitCount,competitionRate,additionalRank,koreanCut70,mathCut70,tamguCut70,percentile70,ratioKor,ratioMath,ratioEng,ratioTam
부산,국립부경대학교,가군,경영학부,20,4.45,12,62.4,56.1,77.5,68.4,0.3,0.25,0.2,0.25
부산,국립부경대학교,가군,경제학과,13,4.77,9,77.0,56.0,72.8,69.7,0.3,0.25,0.2,0.25
부산,국립부경대학교,가군,공과대학 자유전공학부,44,4.09,40,67.0,72.4,59.6,64.7,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,국제지역학부,8,7.75,11,74.0,57.5,74.5,70.1,0.3,0.25,0.2,0.25
부산,국립부경대학교,가군,국제통상학부,14,4.36,9,63.0,63.0,75.8,69.4,0.3,0.25,0.2,0.25
부산,국립부경대학교,가군,기계공학부,25,3.48,22,64.6,74.0,64.5,66.9,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,데이터정보과학부,6,3.67,6,71.0,68.5,56.2,63.0,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,물리학과,8,4.50,12,59.2,77.2,67.0,67.6,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,미생물학과,6,5.67,7,71.5,70.0,63.8,67.2,0.25,0.3,0.2,0.25
부산,국립부경대학교,가군,법학과,6,9.33,8,78.5,62.5,72.2,71.4,0.3,0.25,0.2,0.25
부산,국립부경대학교,가군,소방공학과,6,6.00,4,69.5,77.0,55.2,64.2,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,수산과학대학 자유전공학부,17,4.12,15,64.6,65.4,67.0,66.0,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,스마트헬스케어학부 (의공학전공),6,4.67,9,61.5,74.0,59.0,63.4,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,스마트헬스케어학부 (해양스포츠전공),24,4.79,2,46.0,21.9,66.5,50.2,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,시스템경영ㆍ 안전공학부,17,4.47,16,64.6,68.0,60.2,63.2,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,영어영문학부,11,5.73,8,71.4,54.3,70.0,66.4,0.3,0.25,0.2,0.25
부산,국립부경대학교,가군,응용수학과,6,7.17,12,43.2,75.4,63.9,61.6,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,인문사회과학대학 자유전공학부,22,4.36,25,68.6,52.6,71.9,66.2,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,일어일문학부,9,7.22,2,71.6,54.0,67.8,65.3,0.3,0.25,0.2,0.25
부산,국립부경대학교,가군,전자정보통신공학부,20,5.10,19,70.8,74.0,65.7,69.0,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,조형학부 (공업디자인전공),20,4.35,6,39.0,,44.7,42.8,0.3,0.25,0.2,0.25
부산,국립부경대학교,가군,조형학부 (시각디자인전공),20,4.00,7,46.0,11.0,52.7,40.6,0.3,0.25,0.2,0.25
